census_tract,from,to,ratio_from,ratio_to
17031560100,5.0,3.0,2.667807776979807e-07,1.763170057516958e-07
17031560200,1.0,0.0,5.3356155539596136e-08,0.0
17031560300,0.0,1.0,0.0,5.877233525056527e-08
17031561100,4.0,0.0,2.1342462215838455e-07,0.0
17031570100,0.0,1.0,0.0,5.877233525056527e-08
17031570200,6.0,0.0,3.201369332375768e-07,0.0
17031570300,1.0,0.0,5.3356155539596136e-08,0.0
17031570400,1.0,1.0,5.3356155539596136e-08,5.877233525056527e-08
17031580100,3.0,0.0,1.600684666187884e-07,0.0
17031580200,2.0,0.0,1.0671231107919227e-07,0.0
17031580400,1.0,0.0,5.3356155539596136e-08,0.0
17031580502,1.0,0.0,5.3356155539596136e-08,0.0
17031580600,1.0,0.0,5.3356155539596136e-08,0.0
17031590500,6.0,0.0,3.201369332375768e-07,0.0
17031590600,5.0,0.0,2.667807776979807e-07,0.0
17031590700,6.0,0.0,3.201369332375768e-07,0.0
